Date,Username,Role,Txn_amount,Approver
01/01/2018,bjyo51,staff1,1930,None
01/01/2018,bjyo51,staff1,850,None
01/01/2018,vfsx38,staff1,580,None
01/01/2018,rofb82,staff2,1850,None
01/01/2018,mxxg13,staff2,220,None
01/01/2018,vfsx38,staff1,710,None
01/01/2018,ijfu90,staff1,2710,dkhi21
01/01/2018,ijfu90,staff1,940,None
01/01/2018,ijfu90,staff1,1870,None
01/01/2018,qtez25,staff2,2470,dkhi21
01/01/2018,hsyd53,staff1,210,None
02/01/2018,dkhi21,supervisor,4730,cicu11
02/01/2018,ijfu90,staff1,2350,dkhi21
02/01/2018,qtez25,staff2,2900,dkhi21
02/01/2018,rofb82,staff2,1230,None
02/01/2018,dkhi21,supervisor,5300,sezj17
02/01/2018,dkhi21,supervisor,4500,rixd63
02/01/2018,rofb82,staff2,1360,None
02/01/2018,qtez25,staff2,1940,None
03/01/2018,rofb82,staff2,740,None
03/01/2018,hsyd53,staff1,1160,None
03/01/2018,dkhi21,supervisor,5450,sezj17
03/01/2018,mxxg13,staff2,1550,None
03/01/2018,bjyo51,staff1,180,None
03/01/2018,hsyd53,staff1,1760,None
03/01/2018,hsyd53,staff1,1860,None
03/01/2018,qtez25,staff2,1030,None
03/01/2018,rofb82,staff2,3780,dkhi21
03/01/2018,rofb82,staff2,80,None
03/01/2018,dkhi21,supervisor,4190,sezj17
04/01/2018,bjyo51,staff1,790,None
04/01/2018,mxxg13,staff2,550,None
04/01/2018,bjyo51,staff1,1020,None
04/01/2018,bjyo51,staff1,900,None
04/01/2018,nxlq70,supervisor,6820,noep88
04/01/2018,dkhi21,supervisor,5200,gzfk26
04/01/2018,dkhi21,supervisor,4680,dvgc74
04/01/2018,dkhi21,supervisor,6000,dvgc74
05/01/2018,ijfu90,staff1,1530,None
05/01/2018,dkhi21,supervisor,5940,dvgc74
05/01/2018,vfsx38,staff1,180,None
05/01/2018,dkhi21,supervisor,4220,cicu11
05/01/2018,qtez25,staff2,1890,None
05/01/2018,qtez25,staff2,90,None
05/01/2018,vfsx38,staff1,1020,None
05/01/2018,rofb82,staff2,1890,None
05/01/2018,mxxg13,staff2,40,None
05/01/2018,rofb82,staff2,600,None
05/01/2018,vfsx38,staff1,1100,None
06/01/2018,dkhi21,supervisor,5160,gzfk26
06/01/2018,hsyd53,staff1,1890,None
06/01/2018,ijfu90,staff1,780,None
06/01/2018,dkhi21,supervisor,4750,cicu11
06/01/2018,vfsx38,staff1,1760,None
06/01/2018,mxxg13,staff2,1800,None
06/01/2018,dkhi21,supervisor,5010,hxmk48
06/01/2018,hsyd53,staff1,1160,None
06/01/2018,hsyd53,staff1,550,None
07/01/2018,mxxg13,staff2,2610,dkhi21
07/01/2018,ijfu90,staff1,640,None
07/01/2018,bjyo51,staff1,1430,None
07/01/2018,qtez25,staff2,690,None
07/01/2018,mxxg13,staff2,50,None
07/01/2018,hsyd53,staff1,490,None
07/01/2018,ijfu90,staff1,1670,None
07/01/2018,ijfu90,staff1,1190,None
07/01/2018,vfsx38,staff1,180,None
07/01/2018,bjyo51,staff1,340,None
07/01/2018,bjyo51,staff1,960,None
07/01/2018,dkhi21,supervisor,4950,uiqh99
08/01/2018,mxxg13,staff2,680,None
08/01/2018,dkhi21,supervisor,4960,sezj17
08/01/2018,mxxg13,staff2,1250,None
08/01/2018,dkhi21,supervisor,5710,sezj17
08/01/2018,ijfu90,staff1,990,None
09/01/2018,bjyo51,staff1,820,None
09/01/2018,ijfu90,staff1,1310,None
09/01/2018,dkhi21,supervisor,4470,yvyl18
09/01/2018,dkhi21,supervisor,5340,hxmk48
09/01/2018,bjyo51,staff1,1870,None
09/01/2018,rofb82,staff2,1850,None
09/01/2018,qtez25,staff2,1270,None
09/01/2018,rofb82,staff2,1140,None
09/01/2018,dkhi21,supervisor,4470,rixd63
09/01/2018,mxxg13,staff2,70,None
09/01/2018,bjyo51,staff1,560,None
09/01/2018,hsyd53,staff1,1880,None
09/01/2018,qtez25,staff2,520,None
10/01/2018,rofb82,staff2,1260,None
10/01/2018,mxxg13,staff2,1800,None
10/01/2018,dkhi21,supervisor,4420,uiqh99
10/01/2018,bjyo51,staff1,1070,None
10/01/2018,mxxg13,staff2,1760,None
10/01/2018,mxxg13,staff2,1050,None
11/01/2018,ijfu90,staff1,680,None
11/01/2018,rofb82,staff2,1340,None
11/01/2018,mxxg13,staff2,1020,None
11/01/2018,hsyd53,staff1,1130,None
11/01/2018,qtez25,staff2,1230,None
11/01/2018,ijfu90,staff1,1630,None
11/01/2018,mxxg13,staff2,1630,None
12/01/2018,hsyd53,staff1,850,None
12/01/2018,dkhi21,supervisor,4500,gzfk26
12/01/2018,hsyd53,staff1,620,None
12/01/2018,dkhi21,supervisor,5880,sezj17
12/01/2018,rofb82,staff2,930,None
12/01/2018,ijfu90,staff1,710,None
12/01/2018,dkhi21,supervisor,4210,rixd63
13/01/2018,ijfu90,staff1,440,None
13/01/2018,bjyo51,staff1,150,None
13/01/2018,qtez25,staff2,1660,None
13/01/2018,bjyo51,staff1,940,None
13/01/2018,bjyo51,staff1,560,None
13/01/2018,rofb82,staff2,1310,None
13/01/2018,ijfu90,staff1,1510,None
13/01/2018,qtez25,staff2,530,None
13/01/2018,qtez25,staff2,1330,None
13/01/2018,bjyo51,staff1,350,None
13/01/2018,hsyd53,staff1,1710,None
14/01/2018,dkhi21,supervisor,5410,rixd63
14/01/2018,ijfu90,staff1,1110,None
14/01/2018,mxxg13,staff2,430,None
14/01/2018,rofb82,staff2,400,None
14/01/2018,qtez25,staff2,550,None
14/01/2018,rofb82,staff2,2970,dkhi21
14/01/2018,hsyd53,staff1,2080,dkhi21
15/01/2018,mxxg13,staff2,2240,dkhi21
15/01/2018,vfsx38,staff1,1390,None
15/01/2018,rofb82,staff2,1620,None
15/01/2018,rofb82,staff2,670,None
15/01/2018,vfsx38,staff1,1350,None
15/01/2018,qtez25,staff2,1770,None
15/01/2018,bjyo51,staff1,680,None
15/01/2018,bjyo51,staff1,450,None
15/01/2018,vfsx38,staff1,1490,None
15/01/2018,mxxg13,staff2,1810,None
16/01/2018,dkhi21,supervisor,4450,sezj17
16/01/2018,bjyo51,staff1,80,None
16/01/2018,rofb82,staff2,1990,None
16/01/2018,qtez25,staff2,2020,dkhi21
16/01/2018,hsyd53,staff1,280,None
16/01/2018,hsyd53,staff1,400,None
16/01/2018,ijfu90,staff1,1720,None
16/01/2018,ijfu90,staff1,210,None
16/01/2018,bjyo51,staff1,1610,None
17/01/2018,ijfu90,staff1,1580,None
17/01/2018,rofb82,staff2,320,None
17/01/2018,ijfu90,staff1,1760,None
17/01/2018,qtez25,staff2,1910,None
17/01/2018,rofb82,staff2,930,None
17/01/2018,bjyo51,staff1,1700,None
17/01/2018,hsyd53,staff1,900,None
17/01/2018,ijfu90,staff1,2160,dkhi21
17/01/2018,rofb82,staff2,740,None
17/01/2018,hsyd53,staff1,1890,None
18/01/2018,mxxg13,staff2,1670,None
18/01/2018,bjyo51,staff1,1170,None
18/01/2018,mxxg13,staff2,1330,None
18/01/2018,hsyd53,staff1,140,None
18/01/2018,vfsx38,staff1,250,None
19/01/2018,bjyo51,staff1,250,None
19/01/2018,dkhi21,supervisor,5530,yvyl18
19/01/2018,hsyd53,staff1,950,None
19/01/2018,qtez25,staff2,840,None
19/01/2018,bjyo51,staff1,850,None
19/01/2018,hsyd53,staff1,1890,None
19/01/2018,bjyo51,staff1,1970,None
19/01/2018,qtez25,staff2,110,None
19/01/2018,ijfu90,staff1,860,None
19/01/2018,vfsx38,staff1,1500,None
19/01/2018,qtez25,staff2,600,None
19/01/2018,hsyd53,staff1,530,None
20/01/2018,dkhi21,supervisor,4940,gzfk26
20/01/2018,hsyd53,staff1,2010,dkhi21
20/01/2018,qtez25,staff2,1980,None
20/01/2018,ijfu90,staff1,780,None
20/01/2018,qtez25,staff2,810,None
21/01/2018,vfsx38,staff1,1640,None
21/01/2018,bjyo51,staff1,1950,None
21/01/2018,dkhi21,supervisor,4220,rixd63
21/01/2018,qtez25,staff2,1650,None
21/01/2018,rofb82,staff2,1030,None
21/01/2018,qtez25,staff2,1090,None
21/01/2018,hsyd53,staff1,1590,None
21/01/2018,ijfu90,staff1,1600,None
21/01/2018,dkhi21,supervisor,5890,hxmk48
21/01/2018,ijfu90,staff1,1350,None
21/01/2018,qtez25,staff2,960,None
21/01/2018,mxxg13,staff2,180,None
22/01/2018,mxxg13,staff2,3550,dkhi21
22/01/2018,qtez25,staff2,1140,None
22/01/2018,hsyd53,staff1,1310,None
22/01/2018,hsyd53,staff1,790,None
22/01/2018,rofb82,staff2,1680,None
22/01/2018,hsyd53,staff1,2010,dkhi21
22/01/2018,ijfu90,staff1,380,None
23/01/2018,hsyd53,staff1,140,None
23/01/2018,hsyd53,staff1,1120,None
23/01/2018,ijfu90,staff1,160,None
23/01/2018,ijfu90,staff1,1310,None
23/01/2018,mxxg13,staff2,860,None
23/01/2018,rofb82,staff2,730,None
23/01/2018,vfsx38,staff1,2880,dkhi21
23/01/2018,dkhi21,supervisor,5140,dvgc74
23/01/2018,rofb82,staff2,870,None
23/01/2018,mxxg13,staff2,580,None
23/01/2018,qtez25,staff2,1080,None
24/01/2018,mxxg13,staff2,1420,None
24/01/2018,mxxg13,staff2,2660,dkhi21
24/01/2018,vfsx38,staff1,1430,None
24/01/2018,ijfu90,staff1,1060,None
24/01/2018,mxxg13,staff2,1080,None
24/01/2018,bjyo51,staff1,1650,None
24/01/2018,bjyo51,staff1,2960,dkhi21
24/01/2018,ijfu90,staff1,1450,None
24/01/2018,bjyo51,staff1,1610,None
24/01/2018,ijfu90,staff1,1090,None
24/01/2018,hsyd53,staff1,1240,None
24/01/2018,qtez25,staff2,1670,None
24/01/2018,hsyd53,staff1,1500,None
24/01/2018,mxxg13,staff2,2820,dkhi21
24/01/2018,bjyo51,staff1,960,None
24/01/2018,bjyo51,staff1,170,None
25/01/2018,bjyo51,staff1,1900,None
25/01/2018,bjyo51,staff1,1570,None
25/01/2018,bjyo51,staff1,580,None
25/01/2018,ijfu90,staff1,1010,None
25/01/2018,bjyo51,staff1,1350,None
26/01/2018,bjyo51,staff1,1230,None
26/01/2018,mxxg13,staff2,1590,None
26/01/2018,dkhi21,supervisor,4100,cicu11
26/01/2018,mxxg13,staff2,1050,None
26/01/2018,qtez25,staff2,1530,None
26/01/2018,mxxg13,staff2,100,None
26/01/2018,vfsx38,staff1,930,None
26/01/2018,vfsx38,staff1,1440,None
26/01/2018,mxxg13,staff2,1060,None
27/01/2018,mxxg13,staff2,1280,None
27/01/2018,qtez25,staff2,900,None
27/01/2018,mxxg13,staff2,870,None
27/01/2018,dkhi21,supervisor,4440,dvgc74
27/01/2018,dkhi21,supervisor,4030,gzfk26
27/01/2018,bjyo51,staff1,1250,None
27/01/2018,vfsx38,staff1,50,None
27/01/2018,rofb82,staff2,1890,None
27/01/2018,rofb82,staff2,1000,None
28/01/2018,qtez25,staff2,1070,None
28/01/2018,vfsx38,staff1,280,None
28/01/2018,dkhi21,supervisor,4310,dvgc74
28/01/2018,vfsx38,staff1,1290,None
28/01/2018,mxxg13,staff2,910,None
28/01/2018,bjyo51,staff1,1660,None
28/01/2018,ijfu90,staff1,940,None
28/01/2018,hsyd53,staff1,1180,None
28/01/2018,qtez25,staff2,190,None
28/01/2018,bjyo51,staff1,150,None
28/01/2018,vfsx38,staff1,1630,None
01/02/2018,mxxg13,staff2,2110,dkhi21
01/02/2018,dkhi21,supervisor,4410,cicu11
01/02/2018,vfsx38,staff1,590,None
01/02/2018,rofb82,staff2,530,None
01/02/2018,qtez25,staff2,1130,None
01/02/2018,qtez25,staff2,3080,dkhi21
01/02/2018,mxxg13,staff2,1280,None
01/02/2018,vfsx38,staff1,670,None
01/02/2018,vfsx38,staff1,1680,None
01/02/2018,dkhi21,supervisor,5280,yvyl18
01/02/2018,bjyo51,staff1,700,None
01/02/2018,ijfu90,staff1,1360,None
01/02/2018,bjyo51,staff1,1730,None
02/02/2018,rofb82,staff2,740,None
02/02/2018,bjyo51,staff1,1970,None
02/02/2018,mxxg13,staff2,1360,None
02/02/2018,bjyo51,staff1,1780,None
02/02/2018,qtez25,staff2,90,None
02/02/2018,qtez25,staff2,820,None
02/02/2018,qtez25,staff2,1430,None
02/02/2018,qtez25,staff2,1700,None
03/02/2018,hsyd53,staff1,630,None
03/02/2018,ijfu90,staff1,2130,dkhi21
03/02/2018,qtez25,staff2,110,None
03/02/2018,mxxg13,staff2,500,None
03/02/2018,mxxg13,staff2,1570,None
03/02/2018,dkhi21,supervisor,4210,sezj17
03/02/2018,dkhi21,supervisor,5770,rixd63
03/02/2018,bjyo51,staff1,1210,None
03/02/2018,dkhi21,supervisor,5000,uiqh99
03/02/2018,rofb82,staff2,500,None
03/02/2018,vfsx38,staff1,1240,None
03/02/2018,qtez25,staff2,1360,None
03/02/2018,vfsx38,staff1,1450,None
03/02/2018,rofb82,staff2,2290,dkhi21
03/02/2018,bjyo51,staff1,1380,None
03/02/2018,qtez25,staff2,320,None
04/02/2018,mxxg13,staff2,530,None
04/02/2018,hsyd53,staff1,1410,None
04/02/2018,okbq74,staff2,1630,None
04/02/2018,okbq74,staff2,1190,None
04/02/2018,hsyd53,staff1,1730,None
04/02/2018,hsyd53,staff1,1740,None
05/02/2018,dkhi21,supervisor,4430,cicu11
05/02/2018,mxxg13,staff2,2500,dkhi21
05/02/2018,hsyd53,staff1,660,None
05/02/2018,dkhi21,supervisor,4640,sezj17
05/02/2018,qtez25,staff2,270,None
06/02/2018,ijfu90,staff1,490,None
06/02/2018,hsyd53,staff1,630,None
06/02/2018,dkhi21,supervisor,4010,cicu11
06/02/2018,rofb82,staff2,1260,None
06/02/2018,ijfu90,staff1,570,None
06/02/2018,okbq74,staff2,1860,None
06/02/2018,hsyd53,staff1,730,None
06/02/2018,dkhi21,supervisor,5380,gzfk26
06/02/2018,bjyo51,staff1,710,None
07/02/2018,ijfu90,staff1,1940,None
07/02/2018,rofb82,staff2,1800,None
07/02/2018,vfsx38,staff1,50,None
07/02/2018,bjyo51,staff1,1030,None
07/02/2018,ijfu90,staff1,1860,None
07/02/2018,vfsx38,staff1,2470,dkhi21
07/02/2018,dkhi21,supervisor,5320,cicu11
07/02/2018,dkhi21,supervisor,5770,cicu11
07/02/2018,mxxg13,staff2,980,None
07/02/2018,dkhi21,supervisor,4460,uiqh99
07/02/2018,mxxg13,staff2,1310,None
07/02/2018,qtez25,staff2,1890,None
08/02/2018,rofb82,staff2,1310,None
08/02/2018,bjyo51,staff1,1440,None
08/02/2018,ijfu90,staff1,1790,None
08/02/2018,rofb82,staff2,720,None
08/02/2018,okbq74,staff2,1790,None
08/02/2018,bjyo51,staff1,1950,None
08/02/2018,mxxg13,staff2,1890,None
08/02/2018,mxxg13,staff2,110,None
08/02/2018,okbq74,staff2,1170,None
08/02/2018,vfsx38,staff1,110,None
08/02/2018,rofb82,staff2,30,None
08/02/2018,vfsx38,staff1,1840,None
08/02/2018,mxxg13,staff2,680,None
09/02/2018,ijfu90,staff1,640,None
09/02/2018,bjyo51,staff1,790,None
09/02/2018,rofb82,staff2,1700,None
09/02/2018,vfsx38,staff1,800,None
09/02/2018,vfsx38,staff1,1580,None
09/02/2018,bjyo51,staff1,490,None
09/02/2018,vfsx38,staff1,680,None
09/02/2018,okbq74,staff2,1020,None
09/02/2018,hsyd53,staff1,1170,None
09/02/2018,mxxg13,staff2,1120,None
09/02/2018,ijfu90,staff1,900,None
09/02/2018,dkhi21,supervisor,4110,cicu11
10/02/2018,rofb82,staff2,840,None
10/02/2018,rofb82,staff2,1260,None
10/02/2018,vfsx38,staff1,1500,None
10/02/2018,dkhi21,supervisor,5480,uiqh99
10/02/2018,vfsx38,staff1,430,None
10/02/2018,vfsx38,staff1,1150,None
11/02/2018,dkhi21,supervisor,5440,hxmk48
11/02/2018,rofb82,staff2,1430,None
11/02/2018,mxxg13,staff2,500,None
11/02/2018,bjyo51,staff1,320,None
11/02/2018,ijfu90,staff1,110,None
11/02/2018,dkhi21,supervisor,5120,rixd63
11/02/2018,okbq74,staff2,510,None
11/02/2018,mxxg13,staff2,1670,None
11/02/2018,mxxg13,staff2,1540,None
11/02/2018,vfsx38,staff1,120,None
11/02/2018,mxxg13,staff2,990,None
11/02/2018,rofb82,staff2,1560,None
11/02/2018,mxxg13,staff2,1940,None
11/02/2018,ijfu90,staff1,2160,dkhi21
11/02/2018,rofb82,staff2,980,None
11/02/2018,rofb82,staff2,1250,None
12/02/2018,qtez25,staff2,690,None
12/02/2018,qtez25,staff2,540,None
12/02/2018,qtez25,staff2,1380,None
12/02/2018,qtez25,staff2,1000,None
12/02/2018,vfsx38,staff1,1240,None
12/02/2018,okbq74,staff2,790,None
12/02/2018,okbq74,staff2,1790,None
12/02/2018,bjyo51,staff1,1810,None
12/02/2018,mxxg13,staff2,3240,dkhi21
12/02/2018,ijfu90,staff1,190,None
12/02/2018,mxxg13,staff2,850,None
12/02/2018,rofb82,staff2,660,None
12/02/2018,qtez25,staff2,1940,None
12/02/2018,okbq74,staff2,3180,dkhi21
12/02/2018,vfsx38,staff1,70,None
12/02/2018,dkhi21,supervisor,5200,uiqh99
13/02/2018,dkhi21,supervisor,4420,gzfk26
13/02/2018,okbq74,staff2,880,None
13/02/2018,vfsx38,staff1,910,None
13/02/2018,ijfu90,staff1,1880,None
13/02/2018,hsyd53,staff1,490,None
13/02/2018,okbq74,staff2,2160,dkhi21
13/02/2018,hsyd53,staff1,1420,None
13/02/2018,hsyd53,staff1,150,None
13/02/2018,bjyo51,staff1,520,None
14/02/2018,mxxg13,staff2,1760,None
14/02/2018,ijfu90,staff1,490,None
14/02/2018,qtez25,staff2,3310,dkhi21
14/02/2018,dkhi21,supervisor,5990,sezj17
14/02/2018,ijfu90,staff1,1090,None
14/02/2018,okbq74,staff2,1730,None
15/02/2018,hsyd53,staff1,290,None
15/02/2018,bjyo51,staff1,1280,None
15/02/2018,ijfu90,staff1,850,None
15/02/2018,mxxg13,staff2,270,None
15/02/2018,bjyo51,staff1,1690,None
15/02/2018,rofb82,staff2,1380,None
15/02/2018,ijfu90,staff1,860,None
15/02/2018,bjyo51,staff1,620,None
15/02/2018,okbq74,staff2,1810,None
15/02/2018,bjyo51,staff1,600,None
15/02/2018,bjyo51,staff1,1790,None
15/02/2018,vfsx38,staff1,3370,dkhi21
15/02/2018,okbq74,staff2,240,None
15/02/2018,mxxg13,staff2,1190,None
15/02/2018,vfsx38,staff1,770,None
16/02/2018,nxlq70,supervisor,5775,nsoz88
16/02/2018,dkhi21,supervisor,6040,cicu11
16/02/2018,rofb82,staff2,1390,None
16/02/2018,mxxg13,staff2,1470,None
16/02/2018,bjyo51,staff1,190,None
16/02/2018,hsyd53,staff1,560,None
16/02/2018,mxxg13,staff2,970,None
16/02/2018,rofb82,staff2,1840,None
16/02/2018,ijfu90,staff1,270,None
16/02/2018,qtez25,staff2,1080,None
16/02/2018,vfsx38,staff1,1520,None
16/02/2018,dkhi21,supervisor,5270,yvyl18
17/02/2018,mxxg13,staff2,1530,None
17/02/2018,okbq74,staff2,1090,None
17/02/2018,hsyd53,staff1,1000,None
17/02/2018,hsyd53,staff1,1550,None
17/02/2018,rofb82,staff2,1220,None
17/02/2018,qtez25,staff2,1680,None
18/02/2018,rofb82,staff2,670,None
18/02/2018,vfsx38,staff1,1450,None
18/02/2018,mxxg13,staff2,1220,None
18/02/2018,okbq74,staff2,250,None
18/02/2018,ijfu90,staff1,570,None
18/02/2018,bjyo51,staff1,110,None
18/02/2018,hsyd53,staff1,1290,None
18/02/2018,ijfu90,staff1,190,None
18/02/2018,ijfu90,staff1,800,None
18/02/2018,mxxg13,staff2,240,None
18/02/2018,vfsx38,staff1,490,None
19/02/2018,rofb82,staff2,590,None
19/02/2018,qtez25,staff2,310,None
19/02/2018,dkhi21,supervisor,5420,yvyl18
19/02/2018,ijfu90,staff1,1580,None
19/02/2018,dkhi21,supervisor,4150,rixd63
19/02/2018,qtez25,staff2,1810,None
19/02/2018,dkhi21,supervisor,5590,dvgc74
19/02/2018,hsyd53,staff1,1500,None
19/02/2018,vfsx38,staff1,1050,None
20/02/2018,qtez25,staff2,450,None
20/02/2018,mxxg13,staff2,1840,None
20/02/2018,bjyo51,staff1,1040,None
20/02/2018,mxxg13,staff2,610,None
20/02/2018,bjyo51,staff1,670,None
20/02/2018,ijfu90,staff1,1700,None
20/02/2018,ijfu90,staff1,1670,None
20/02/2018,okbq74,staff2,1730,None
20/02/2018,dkhi21,supervisor,4920,gzfk26
21/02/2018,hsyd53,staff1,1350,None
21/02/2018,qtez25,staff2,570,None
21/02/2018,rofb82,staff2,1860,None
21/02/2018,vfsx38,staff1,980,None
21/02/2018,ijfu90,staff1,1070,None
21/02/2018,rofb82,staff2,120,None
21/02/2018,vfsx38,staff1,1660,None
21/02/2018,dkhi21,supervisor,4510,gzfk26
21/02/2018,bjyo51,staff1,990,None
21/02/2018,okbq74,staff2,90,None
21/02/2018,dkhi21,supervisor,4180,hxmk48
21/02/2018,vfsx38,staff1,1050,None
21/02/2018,dkhi21,supervisor,5630,yvyl18
22/02/2018,ijfu90,staff1,990,None
22/02/2018,okbq74,staff2,2550,dkhi21
22/02/2018,ijfu90,staff1,1140,None
22/02/2018,hsyd53,staff1,2820,dkhi21
22/02/2018,rofb82,staff2,1040,None
22/02/2018,bjyo51,staff1,1250,None
22/02/2018,hsyd53,staff1,470,None
22/02/2018,qtez25,staff2,770,None
22/02/2018,vfsx38,staff1,710,None
23/02/2018,rofb82,staff2,1320,None
23/02/2018,okbq74,staff2,540,None
23/02/2018,ijfu90,staff1,1130,None
23/02/2018,rofb82,staff2,1090,None
23/02/2018,vfsx38,staff1,1370,None
23/02/2018,ijfu90,staff1,550,None
23/02/2018,bjyo51,staff1,1200,None
23/02/2018,dkhi21,supervisor,5700,sezj17
23/02/2018,rofb82,staff2,2200,dkhi21
23/02/2018,mxxg13,staff2,1230,None
24/02/2018,ijfu90,staff1,460,None
24/02/2018,ijfu90,staff1,980,None
24/02/2018,rofb82,staff2,1400,None
24/02/2018,vfsx38,staff1,1230,None
24/02/2018,qtez25,staff2,1630,None
24/02/2018,vfsx38,staff1,780,None
24/02/2018,mxxg13,staff2,1640,None
24/02/2018,mxxg13,staff2,110,None
24/02/2018,hsyd53,staff1,720,None
24/02/2018,mxxg13,staff2,2310,dkhi21
25/02/2018,okbq74,staff2,1640,None
25/02/2018,bjyo51,staff1,60,None
25/02/2018,mxxg13,staff2,1760,None
25/02/2018,ijfu90,staff1,1980,None
25/02/2018,qtez25,staff2,1870,None
25/02/2018,qtez25,staff2,90,None
25/02/2018,dkhi21,supervisor,4230,sezj17
25/02/2018,ijfu90,staff1,1570,None
25/02/2018,bjyo51,staff1,1600,None
25/02/2018,hsyd53,staff1,1690,None
25/02/2018,bjyo51,staff1,130,None
25/02/2018,hsyd53,staff1,320,None
26/02/2018,hsyd53,staff1,1520,None
26/02/2018,hsyd53,staff1,1200,None
26/02/2018,rofb82,staff2,430,None
26/02/2018,ijfu90,staff1,1040,None
26/02/2018,dkhi21,supervisor,6020,hxmk48
26/02/2018,dkhi21,supervisor,5680,yvyl18
26/02/2018,dkhi21,supervisor,5690,rixd63
26/02/2018,rofb82,staff2,990,None
26/02/2018,ijfu90,staff1,1930,None
27/02/2018,ijfu90,staff1,1540,None
27/02/2018,dkhi21,supervisor,5710,dvgc74
27/02/2018,mxxg13,staff2,1410,None
27/02/2018,mxxg13,staff2,2160,dkhi21
27/02/2018,okbq74,staff2,70,None
27/02/2018,qtez25,staff2,1400,None
27/02/2018,vfsx38,staff1,1730,None
27/02/2018,qtez25,staff2,810,None
27/02/2018,vfsx38,staff1,750,None
27/02/2018,mxxg13,staff2,1880,None
27/02/2018,qtez25,staff2,1860,None
28/02/2018,hsyd53,staff1,1960,None
28/02/2018,hsyd53,staff1,880,None
28/02/2018,qtez25,staff2,310,None
28/02/2018,ijfu90,staff1,1490,None
28/02/2018,mxxg13,staff2,1530,None
28/02/2018,okbq74,staff2,1070,None
28/02/2018,rofb82,staff2,1760,None
28/02/2018,bjyo51,staff1,1870,None
28/02/2018,bjyo51,staff1,320,None
28/02/2018,mxxg13,staff2,320,None
01/03/2018,dkhi21,supervisor,4240,dvgc74
01/03/2018,ijfu90,staff1,700,None
01/03/2018,hsyd53,staff1,1240,None
01/03/2018,dkhi21,supervisor,5360,sezj17
01/03/2018,vfsx38,staff1,1550,None
01/03/2018,dkhi21,supervisor,4490,gzfk26
01/03/2018,bjyo51,staff1,1230,None
01/03/2018,qtez25,staff2,2870,dkhi21
01/03/2018,qtez25,staff2,1310,None
01/03/2018,ijfu90,staff1,1230,None
01/03/2018,rofb82,staff2,20,None
01/03/2018,rofb82,staff2,2720,dkhi21
01/03/2018,dkhi21,supervisor,5190,hxmk48
01/03/2018,vfsx38,staff1,230,None
01/03/2018,rofb82,staff2,1410,None
01/03/2018,vfsx38,staff1,20,None
01/03/2018,qtez25,staff2,2100,dkhi21
02/03/2018,bjyo51,staff1,1050,None
